time,normalised_flux,tau
79458.22822822822,0.9701406311250125,0.20127109669669666
79507.74774774775,0.9706762012312536,0.20232487207207203
79557.26726726726,0.9712022332695046,0.2033786474474474
79606.78678678679,0.9717188945777305,0.20443242282282278
79656.3063063063,0.9722263495337823,0.20548619819819813
79705.82582582583,0.9727247595918719,0.20653997357357354
79755.34534534534,0.9732142838424758,0.20759374894894891
79804.86486486487,0.9736950785177437,0.2086475243243243
79854.38438438438,0.9741672972007608,0.20970129969969964
79903.9039039039,0.974631090870922,0.21075507507507504
79953.42342342342,0.9750866076682307,0.2118088504504504
80002.94294294294,0.9755339934117687,0.2128626258258258
80052.46246246246,0.9759733915358616,0.2139164012012012
80101.98198198198,0.9764049429466146,0.21497017657657655
80151.50150150151,0.9768287861555027,0.2160239519519519
80201.02102102102,0.9772450573234985,0.2170777273273273
80250.54054054053,0.9776538898558739,0.21813150270270265
80300.06006006006,0.9780554151306252,0.219185278078078
80349.57957957959,0.9784497625354762,0.2202390534534534
80399.0990990991,0.9788370590759541,0.2212928288288288
80448.61861861862,0.979217429596815,0.22234660420420416
80498.13813813814,0.9795909968240869,0.2234003795795795
80547.65765765766,0.9799578808053823,0.2244541549549549
80597.17717717717,0.9803181997549815,0.22550793033033026
80646.6966966967,0.9806720703486836,0.22656170570570566
80696.21621621621,0.9810196069718011,0.22761548108108104
80745.73573573574,0.9813609220552941,0.22866925645645642
80795.25525525525,0.981696126114738,0.2297230318318318
80844.77477477478,0.982025327215423,0.23077680720720714
80894.29429429429,0.982348631648863,0.23183058258258255
80943.81381381382,0.9826661445097372,0.23288435795795792
80993.33333333333,0.9829779687398775,0.2339381333333333
81042.85285285285,0.9832842055118497,0.23499190870870867
81092.37237237237,0.9835849542645747,0.23604568408408405
81141.8918918919,0.9838803122916437,0.2370994594594594
81191.4114114114,0.9841703751534371,0.2381532348348348
81240.93093093093,0.9844552374112369,0.23920701021021015
81290.45045045044,0.9847349916638193,0.24026078558558556
81339.96996996997,0.9850097289121404,0.2413145609609609
81389.4894894895,0.9852795385919789,0.2423683363363363
81439.00900900901,0.9855445082558291,0.24342211171171166
81488.52852852852,0.9858047237845207,0.244475887087087
81538.04804804805,0.9860602702372998,0.2455296624624624
81587.56756756757,0.98631123088536,0.24658343783783782
81637.08708708709,0.9865576875607895,0.24763721321321316
81686.60660660661,0.9867997206867217,0.2486909885885885
81736.12612612612,0.9870374088331282,0.24974476396396392
81785.64564564565,0.9872708289264213,0.25079853933933927
81835.16516516516,0.9875000577247902,0.25185231471471464
81884.68468468469,0.987725170100106,0.2529060900900901
81934.2042042042,0.9879462396370496,0.25395986546546545
81983.72372372373,0.9881633386616374,0.25501364084084077
82033.24324324324,0.988376538269704,0.2560674162162162
82082.76276276277,0.9885859083554283,0.2571211915915915
82132.28228228228,0.9887915158287518,0.2581749669669669
82181.8018018018,0.9889934283532065,0.2592287423423423
82231.32132132132,0.9891917124661784,0.2602825177177177
82280.84084084084,0.9893864331420704,0.26133629309309303
82330.36036036036,0.9895776542444585,0.2623900684684684
82379.87987987988,0.9897654385517723,0.2634438438438438
82429.3993993994,0.9899498477829082,0.26449761921921916
82478.91891891892,0.9901309422918673,0.26555139459459454
82528.43843843843,0.9903087793167883,0.26660516996996997
82577.95795795796,0.9904834186801857,0.2676589453453453
82627.47747747749,0.9906549176956275,0.26871272072072067
82676.996996997,0.9908233326878779,0.26976649609609604
82726.51651651651,0.9909887190151908,0.2708202714714714
82776.03603603604,0.9911511310916727,0.2718740468468468
82825.55555555556,0.9913106224095628,0.2729278222222221
82875.07507507507,0.9914672444252911,0.2739815975975976
82924.5945945946,0.9916210479988278,0.2750353729729729
82974.11411411411,0.991772084455045,0.2760891483483483
83023.63363363364,0.9919204034434529,0.2771429237237237
83073.15315315315,0.9920660537534164,0.27819669909909905
83122.67267267268,0.9922090833336737,0.2792504744744744
83172.19219219219,0.9923495393118129,0.2803042498498498
83221.71171171172,0.9924874680138166,0.2813580252252252
83271.23123123123,0.9926229133032197,0.28241180060060056
83320.75075075075,0.9927559204732354,0.2834655759759759
83370.27027027027,0.9928865334359147,0.2845193513513513
83419.7897897898,0.9930147951971536,0.28557312672672663
83469.3093093093,0.9931407480191184,0.286626902102102
83518.82882882883,0.9932644334375692,0.2876806774774774
83568.34834834834,0.9933858922792917,0.2887344528528528
83617.86786786787,0.9935051642900429,0.2897882282282282
83667.38738738738,0.9936222877799147,0.2908420036036035
83716.90690690691,0.9937373021010469,0.29189577897897895
83766.42642642642,0.9938502451652416,0.29294955435435427
83815.94594594595,0.99396115422796,0.2940033297297297
83865.46546546547,0.9940700659038728,0.2950571051051051
83914.98498498499,0.994177016182137,0.29611088048048045
83964.5045045045,0.994282040441865,0.2971646558558558
84014.02402402402,0.9943851722596098,0.2982184312312312
84063.54354354355,0.9944864456406495,0.29927220660660653
84113.06306306306,0.9945858945020735,0.30032598198198196
84162.58258258259,0.9946835516850491,0.3013797573573573
84212.1021021021,0.9947794494676704,0.3024335327327327
84261.62162162163,0.9948736195788693,0.30348730810810803
84311.14114114114,0.9949660932122575,0.3045410834834834
84360.66066066067,0.9950569010400232,0.3055948588588588
84410.18018018018,0.9951460728552342,0.30664863423423416
84459.6996996997,0.9952336363836037,0.30770240960960954
84509.21921921922,0.9953196218593584,0.3087561849849849
84558.73873873874,0.9954040577112533,0.3098099603603603
84608.25825825825,0.99548697187952,0.31086373573573567
84657.77777777778,0.9955683918278668,0.31191751111111105
84707.2972972973,0.9956483445553708,0.3129712864864864
84756.81681681682,0.9957268566085322,0.3140250618618618
84806.33633633633,0.9958039540931809,0.3150788372372372
84855.85585585586,0.9958796611149592,0.31613261261261255
84905.37537537537,0.9959540029001426,0.31718638798798793
84954.8948948949,0.996027004547783,0.3182401633633633
85004.41441441441,0.996098690219394,0.3192939387387387
85053.93393393393,0.9961690836598598,0.32034771411411406
85103.45345345346,0.9962382082076614,0.32140148948948943
85152.97297297297,0.99630608680494,0.3224552648648648
85202.49249249249,0.9963727420076961,0.3235090402402402
85252.01201201201,0.9964381956326974,0.32456281561561556
85301.53153153154,0.9965024681612894,0.3256165909909909
85351.05105105105,0.996565581782606,0.3266703663663663
85400.57057057058,0.9966275573860214,0.3277241417417417
85450.09009009009,0.9966884154981202,0.32877791711711707
85499.60960960962,0.9967481762914328,0.3298316924924924
