time,flux,normalised_flux,yCO2_bl,pressure,tau
151243.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,149.429,0.6761485919959414
151253.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.6763613919959413
151263.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,148.985,0.6765741919959413
151273.89999980928,0.0001316284363369282,0.9969113455222293,0.0010567344999999999,149.207,0.6767869919959413
151283.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,149.207,0.6769997919959413
151293.89999980928,0.00013126110446808357,0.994129292359448,0.0010537855,149.429,0.6772125919959412
151303.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.6774253919959413
151313.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,149.207,0.6776381919959412
151323.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.6778509919959413
151333.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,149.429,0.6780637919959412
151343.89999980928,0.00013126110446808357,0.994129292359448,0.0010537855,149.207,0.6782765919959413
151353.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.429,0.6784893919959413
151363.89999980928,0.00013137134139718754,0.9949641913248811,0.0010546705,149.429,0.6787021919959413
151373.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.429,0.6789149919959412
151383.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.429,0.6791277919959413
151393.89999980928,0.0001314448326832568,0.9955207906351694,0.0010552604999999999,149.207,0.6793405919959412
151403.89999980928,0.00013155494505085892,0.9963547462119408,0.0010561445,148.985,0.6795533919959413
151413.89999980928,0.00013129785011111825,0.9944075920145925,0.0010540805,149.429,0.6797661919959412
151423.9009997368,0.00013140808704022216,0.9952424909800252,0.0010549655,149.429,0.6799790132743989
151433.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.6801917919959413
151443.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.6804045919959413
151453.89999980928,0.00013118761318201428,0.9935726930491595,0.0010531954999999998,149.429,0.6806173919959413
151463.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,149.429,0.6808301919959413
151473.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,149.207,0.6810429919959413
151483.89999980928,0.00013140808704022216,0.9952424909800252,0.0010549655,149.207,0.6812557919959412
151493.89999980928,0.00013151832396932612,0.9960773899454582,0.0010558505,149.207,0.6814685919959413
151503.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.207,0.6816813919959412
151513.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.429,0.6818941919959413
151523.89999980928,0.00013155494505085892,0.9963547462119408,0.0010561445,149.429,0.6821069919959413
151533.89999980928,0.00013148157832629145,0.9957990902903138,0.0010555554999999999,149.429,0.6823197919959413
151543.89999980928,0.00013129785011111825,0.9944075920145925,0.0010540805,149.207,0.6825325919959413
151553.89999980928,0.00013151832396932612,0.9960773899454582,0.0010558505,149.207,0.6827453919959413
151563.89999980928,0.0001316284363369282,0.9969113455222293,0.0010567344999999999,149.429,0.6829581919959412
151573.89999980928,0.00013155494505085892,0.9963547462119408,0.0010561445,149.207,0.6831709919959413
151583.89999980928,0.00013133459575415286,0.9946858916697366,0.0010543755,148.985,0.6833837919959412
