Pressure (Pa), Temperature (K), Density EQ (g/cm^3), Density Exp (g/cm^3)
60000000, 402.5, 1.0332017022024185, 1.0361620557455187
60000000, 412.4, 1.0288507263733113, 1.0307153164296021
60000000, 422.8, 1.0242693471043958, 1.0255358424776946
60000000, 432.6, 1.0199431102704226, 1.0207206287639072
60000000, 442.5, 1.0155644879541381, 1.015950421619425
60000000, 452.8, 1.0110009841367336, 1.011020119300374
60000000, 463.1, 1.0064301922275196, 1.0065425264217414
60000000, 473.6, 1.0017640092478728, 1.0023053021950485
60000000, 482.7, 0.9977152318911024, 0.9985022466300548
60000000, 492.4, 0.9933953057005954, 0.9942334460131238
60000000, 503.2, 0.9885812001669875, 0.9899029895070284
60000000, 513.2, 0.9841204358435883, 0.9856100926473488
60000000, 524.3, 0.97916622002022, 0.9809691975671964
80000000, 402.5, 1.0417935069236992, 1.0444955086693126
80000000, 412.4, 1.0376359807165734, 1.039176971838304
80000000, 422.8, 1.0332610401328362, 1.0344470880314471
80000000, 432.6, 1.0291323638454568, 1.0298661174047374
80000000, 442.5, 1.024956314990016, 1.0253255408592228
80000000, 452.8, 1.0206067737205127, 1.020512297173181
80000000, 463.1, 1.0162532156168926, 1.016260162601626
80000000, 473.6, 1.011811851158273, 1.0122482032594393
80000000, 482.7, 1.007960662109491, 1.0086746015735324
80000000, 492.4, 1.0038541520205264, 1.0047221943132725
80000000, 503.2, 0.9992810507528166, 1.0004001600640255
80000000, 513.2, 0.9950466030645041, 0.9966115208291807
80000000, 524.3, 0.9903471368945335, 0.992358836955443
100000000, 402.5, 1.0498285329342472, 1.0522992739135009
100000000, 412.4, 1.0458404373476464, 1.0474494605635278
100000000, 422.8, 1.0416458114420577, 1.0426441455531228
100000000, 432.6, 1.0376892238219264, 1.0383137784238397
100000000, 442.5, 1.0336891562127342, 1.0340192327577293
100000000, 452.8, 1.0295249742437866, 1.029336078229542
100000000, 463.1, 1.0253590726862751, 1.025220422390814
100000000, 473.6, 1.0211113535223113, 1.0214504596527068
100000000, 482.7, 1.0174298872321261, 1.018122581958868
100000000, 492.4, 1.0135062088293478, 1.0143016533116949
100000000, 503.2, 1.009138972730905, 1.0104071940992219
100000000, 513.2, 1.005097270279656, 1.0065425264217414
100000000, 524.3, 1.0006141078957382, 1.0025062656641603
120000000, 402.5, 1.0573833783715296, 1.058985491898761
120000000, 412.4, 1.0535454507088788, 1.0549636037556704
120000000, 422.8, 1.0495102792899793, 1.0505305179115454
120000000, 432.6, 1.0457055290985486, 1.0462439840970914
120000000, 442.5, 1.0418603909175665, 1.0418837257762035
120000000, 452.8, 1.0378590240612087, 1.03777501037775
120000000, 463.1, 1.0338575725337544, 1.0338054378166028
120000000, 473.6, 1.0297791522794415, 1.0300782859497322
120000000, 482.7, 1.0262457403489693, 1.0270103728047653
120000000, 492.4, 1.022481210908045, 1.023122570083896
120000000, 503.2, 1.0182927556263024, 1.019367991845056
120000000, 513.2, 1.0144180436941914, 1.015744032503809
120000000, 524.3, 1.0101218318578382, 1.011736139214893
140000000, 402.5, 1.0645191662712374, 1.0649627263045793
140000000, 412.4, 1.0608156655728838, 1.0619093129446746
140000000, 422.8, 1.0569229638642677, 1.0576414595452142
140000000, 432.6, 1.0532536216697201, 1.0536297545042672
140000000, 442.5, 1.0495463943753247, 1.0495382031905962
140000000, 452.8, 1.0456896839529444, 1.0453690152623876
140000000, 463.1, 1.0418340598434404, 1.0413412475268145
140000000, 473.6, 1.0379054747792158, 1.0378827192527245
140000000, 482.7, 1.0345028560087992, 1.034875297526648
140000000, 492.4, 1.0308786742288603, 1.0314595152140278
140000000, 503.2, 1.0268475782578699, 1.027749229188078
140000000, 513.2, 1.02311956416534, 1.024380249948781
140000000, 524.3, 1.0189872638541337, 1.0204081632653061
160000000, 412.4, 1.0677034000924412, 1.0679196924391285
160000000, 422.8, 1.0639391101998823, 1.0647359454855196
160000000, 432.6, 1.0603916192380485, 1.0605578534309048
160000000, 442.5, 1.0568083017886079, 1.0566356720202874
160000000, 452.8, 1.0530813544251556, 1.0526315789473684
160000000, 463.1, 1.0493563314341783, 1.048767697954903
160000000, 473.6, 1.045561717608085, 1.0453690152623876
160000000, 482.7, 1.0422758648499615, 1.042535446205171
160000000, 492.4, 1.0387767953854852, 1.0392849719393058
160000000, 503.2, 1.0348857537558986, 1.035625517812759
160000000, 513.2, 1.0312880956592665, 1.0322047894302229
160000000, 524.3, 1.0273012120614275, 1.0285949393128986
180000000, 422.8, 1.070603984257988, 1.071007818357074
180000000, 432.6, 1.067166995663372, 1.067463706233988
180000000, 442.5, 1.0636958970705586, 1.0634903754121026
180000000, 452.8, 1.0600863090246022, 1.0596587898696619
180000000, 463.1, 1.0564792396954965, 1.0559662090813096
180000000, 473.6, 1.0528054550824382, 1.052742393936204
180000000, 482.7, 1.0496247770114238, 1.0500892575868948
180000000, 492.4, 1.0462382602412739, 1.0467915837956663
180000000, 503.2, 1.0424730442173997, 1.0432968179447053
180000000, 513.2, 1.038992340489481, 1.0398253093480296
180000000, 524.3, 1.0351357464536817, 1.0364842454394694
200000000, 422.8, 1.0769551925383867, 1.0764262648008611
200000000, 432.6, 1.0736190870552091, 1.0738831615120275
