Pressure (Pa), Temperature (K), Density EQ (g/cm^3), Density Exp (g/cm^3)
180000000, 442.5, 1.1112367345785448, 1.0634903754121026
180000000, 452.8, 1.1068662087991075, 1.0596587898696619
180000000, 463.1, 1.1025100675772799, 1.0559662090813096
180000000, 473.6, 1.0980848852263205, 1.052742393936204
180000000, 482.7, 1.0942629757276012, 1.0500892575868948
180000000, 492.4, 1.0902031496602094, 1.0467915837956663
180000000, 503.2, 1.0857006469232298, 1.0432968179447053
180000000, 513.2, 1.081548886473683, 1.0398253093480296
180000000, 524.3, 1.0769604796766563, 1.0364842454394694
200000000, 422.8, 1.1276288554981293, 1.0764262648008611
200000000, 432.6, 1.1235718907022307, 1.0738831615120275
200000000, 442.5, 1.1194856234318382, 1.0700909577314073
200000000, 452.8, 1.1152478601497158, 1.0662117496534813
200000000, 463.1, 1.1110246643488266, 1.0628122010840686
200000000, 473.6, 1.1067351502805436, 1.05977108944468
200000000, 482.7, 1.1030308981717953, 1.056970721911003
200000000, 492.4, 1.099096529391052, 1.0536297545042672
200000000, 503.2, 1.0947337157721277, 1.050420168067227
200000000, 513.2, 1.0907112561822372, 1.0470107842110774
200000000, 524.3, 1.0862662736538937, 1.0438413361169103
